week,home_team,away_team,game_id,proposition_id,bet_win_key,home_score,away_score,home_line,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick,adam_pick
1,KC,BAL,401671789,19d15ae0-138a-11ef-95b6-af3fb566f45b,KC,27,20,-2.5,BAL,KC,KC,,,
1,PHI,GB,401671805,19d1f720-138a-11ef-95b6-af3fb566f45b,PHI,34,29,-1.5,GB,PHI,PHI,,,
1,ATL,PIT,401671744,19d24540-138a-11ef-95b6-af3fb566f45b,PIT,10,18,-2.5,PIT,ATL,ATL,,,
1,BUF,ARI,401671617,19d29360-138a-11ef-95b6-af3fb566f45b,ARI,34,28,-6.5,ARI,ARI,BUF,,,
1,CHI,TEN,401671719,19d30890-138a-11ef-95b6-af3fb566f45b,CHI,24,17,-4.5,TEN,TEN,CHI,,,
1,CIN,NE,401671628,19d32fa0-138a-11ef-95b6-af3fb566f45b,NE,10,16,-8.5,NE,CIN,NE,,,
1,IND,HOU,401671861,19d37dc0-138a-11ef-95b6-af3fb566f45b,HOU,27,29,1.5,IND,HOU,IND,,,
1,MIA,JAX,401671849,19d3cbe0-138a-11ef-95b6-af3fb566f45b,JAX,20,17,-3.5,JAX,MIA,MIA,,,
1,NO,CAR,401671734,19d41a00-138a-11ef-95b6-af3fb566f45b,NO,47,10,-4.5,CAR,NO,NO,,,
1,NYG,MIN,401671712,19d46820-138a-11ef-95b6-af3fb566f45b,MIN,6,28,1.5,NYG,NYG,NYG,,,
1,LAC,LV,401671659,19d4b640-138a-11ef-95b6-af3fb566f45b,LAC,22,10,-3.5,LV,LAC,LAC,,,
1,SEA,DEN,401671664,19d52b70-138a-11ef-95b6-af3fb566f45b,SEA,26,20,-4.5,DEN,SEA,SEA,,,
1,CLE,DAL,401671761,19d55280-138a-11ef-95b6-af3fb566f45b,DAL,17,33,1.5,CLE,DAL,CLE,,,
1,TB,WSH,401671770,19d5a0a0-138a-11ef-95b6-af3fb566f45b,TB,37,20,-4.5,WSH,TB,TB,,,
1,DET,LAR,401671792,19d5eec0-138a-11ef-95b6-af3fb566f45b,DET,26,20,-3.5,LAR,LAR,DET,,,
1,SF,NYJ,401671696,19d63ce0-138a-11ef-95b6-af3fb566f45b,SF,32,19,-6.5,NYJ,SF,NYJ,,,
2,MIA,BUF,401671807,1a1d7f10-138a-11ef-9421-4b5b2bd2cbe8,BUF,10,31,-1.5,,MIA,MIA,,,
2,DAL,NO,401671709,1a1e1b50-138a-11ef-9421-4b5b2bd2cbe8,NO,19,44,-6.5,NO,NO,NO,DAL,,
2,DET,TB,401671721,1a1e9080-138a-11ef-9421-4b5b2bd2cbe8,TB,16,20,-6.5,TB,DET,DET,TB,,
2,GB,IND,401671723,1a1edea0-138a-11ef-9421-4b5b2bd2cbe8,GB,16,10,3.5,IND,IND,GB,IND,,
2,TEN,NYJ,401671636,1a1f2cc0-138a-11ef-9421-4b5b2bd2cbe8,NYJ,17,24,3.5,TEN,TEN,TEN,NYJ,,
2,MIN,SF,401671645,1a1f53d0-138a-11ef-9421-4b5b2bd2cbe8,MIN,23,17,4.5,SF,SF,MIN,SF,,
2,NE,SEA,401671702,1a1fa1f0-138a-11ef-9421-4b5b2bd2cbe8,NE,20,23,3.5,NE,NE,NE,NE,,
2,WSH,NYG,401671716,1a1fc900-138a-11ef-9421-4b5b2bd2cbe8,WSH,21,18,-2.5,WSH,WSH,WSH,NYG,,
2,CAR,LAC,401671652,1a201720-138a-11ef-9421-4b5b2bd2cbe8,LAC,3,26,6.5,LAC,LAC,LAC,LAC,,
2,JAX,CLE,401671635,1a206540-138a-11ef-9421-4b5b2bd2cbe8,CLE,13,18,-3.5,CLE,CLE,JAX,JAX,,
2,BAL,LV,401671624,1a20da70-138a-11ef-9421-4b5b2bd2cbe8,LV,23,26,-9.5,BAL,LV,BAL,BAL,,
2,ARI,LAR,401671754,1a212890-138a-11ef-9421-4b5b2bd2cbe8,ARI,41,10,-0.5,LAR,ARI,ARI,LAR,,
2,DEN,PIT,401671668,1a2176b0-138a-11ef-9421-4b5b2bd2cbe8,PIT,6,13,2.5,DEN,PIT,DEN,PIT,,
2,KC,CIN,401671670,1a21c4d0-138a-11ef-9421-4b5b2bd2cbe8,CIN,26,25,-5.5,KC,CIN,KC,KC,,
2,HOU,CHI,401671786,1a21ebe0-138a-11ef-9421-4b5b2bd2cbe8,CHI,19,13,-6.5,CHI,CHI,HOU,HOU,,
2,PHI,ATL,401671691,1a223a00-138a-11ef-9421-4b5b2bd2cbe8,ATL,21,22,-6.5,PHI,PHI,PHI,PHI,,
3,NYJ,NE,401671808,1a5494a0-138a-11ef-99c0-11d412694269,NYJ,24,3,-6.5,NE,NE,NYJ,NE,,
3,CLE,NYG,401671855,1a557f00-138a-11ef-99c0-11d412694269,NYG,15,21,-6.5,CLE,CLE,CLE,CLE,,
3,TEN,GB,401671823,1a55cd20-138a-11ef-99c0-11d412694269,GB,14,30,-2.5,GB,GB,TEN,GB,,
3,IND,CHI,401671865,1a561b40-138a-11ef-99c0-11d412694269,IND,21,16,-1.5,CHI,IND,IND,IND,,
3,MIN,HOU,401671646,1a566960-138a-11ef-99c0-11d412694269,MIN,34,7,2.5,MIN,MIN,MIN,MIN,,
3,NO,PHI,401671736,1a569070-138a-11ef-99c0-11d412694269,PHI,12,15,-2.5,NO,NO,NO,NO,,
3,PIT,LAC,401671632,1a5705a0-138a-11ef-99c0-11d412694269,PIT,20,10,-2.5,PIT,PIT,PIT,LAC,,
3,TB,DEN,401671741,1a572cb0-138a-11ef-99c0-11d412694269,DEN,7,26,-6.5,TB,TB,TB,TB,,
3,LV,CAR,401671658,1a577ad0-138a-11ef-99c0-11d412694269,CAR,22,36,-5.5,LV,LV,LV,LV,,
3,SEA,MIA,401671662,1a57c8f0-138a-11ef-99c0-11d412694269,SEA,24,3,-5.5,MIA,MIA,SEA,MIA,,
3,DAL,BAL,401671763,1a581710-138a-11ef-99c0-11d412694269,BAL,25,28,0.5,DAL,BAL,DAL,DAL,,
3,LAR,SF,401671772,1a586530-138a-11ef-99c0-11d412694269,LAR,27,24,6.5,SF,SF,LAR,SF,,
3,ARI,DET,401671771,1a58b350-138a-11ef-99c0-11d412694269,DET,13,20,2.5,ARI,DET,ARI,DET,,
3,ATL,KC,401671793,1a58da60-138a-11ef-99c0-11d412694269,KC,17,22,3.5,KC,KC,ATL,KC,,
3,BUF,JAX,401671682,1a592880-138a-11ef-99c0-11d412694269,BUF,47,10,-5.5,BUF,BUF,BUF,BUF,,
3,CIN,WSH,401671490,1a599db0-138a-11ef-99c0-11d412694269,WSH,33,38,-7.5,WSH,CIN,WSH,WSH,,
4,NYG,DAL,401671812,1a8bd140-138a-11ef-9421-4b5b2bd2cbe8,DAL,15,20,4.5,DAL,,,DAL,,
