week,home_team,away_team,game_id,proposition_id,bet_win_key,home_score,away_score,home_line,prop_date,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick,adam_pick
1,PHI,DAL,401772510,,,24,20,,,,,,,,
1,LAC,KC,401772714,,,27,21,,,,,,,,
1,ATL,TB,401772830,,,20,23,,,,,,,,
1,CLE,CIN,401772829,,,16,17,,,,,,,,
1,IND,MIA,401772719,,,33,8,,,,,,,,
1,NE,LV,401772720,,,13,20,,,,,,,,
1,NO,ARI,401772718,,,13,20,,,,,,,,
1,NYJ,PIT,401772721,,,32,34,,,,,,,,
1,WSH,NYG,401772827,,,21,6,,,,,,,,
1,JAX,CAR,401772828,,,26,10,,,,,,,,
1,DEN,TEN,401772832,,,20,12,,,,,,,,
1,SEA,SF,401772831,,,13,17,,,,,,,,
1,GB,DET,401772722,,,27,13,,,,,,,,
1,LAR,HOU,401772723,,,14,9,,,,,,,,
1,BUF,BAL,401772918,,,41,40,,,,,,,,
1,CHI,MIN,401772810,,,24,27,,,,,,,,
2,GB,WSH,401772936,,,27,18,,,,,,,,
2,IND,DEN,401772729,,,,,,,,,,,,
2,ARI,CAR,401772730,,,,,,,,,,,,
2,KC,PHI,401772837,,,,,,,,,,,,
2,MIN,ATL,401772919,,,,,,,,,,,,
2,CIN,JAX,401772725,,,31,27,,,,,,,,
2,DAL,NYG,401772834,,,40,37,,,,,,,,
2,DET,CHI,401772835,,,52,21,,,,,,,,
2,TEN,LAR,401772724,,,19,33,,,,,,,,
2,MIA,NE,401772728,,,27,33,,,,,,,,
2,NO,SF,401772833,,,21,26,,,,,,,,
2,NYJ,BUF,401772727,,,10,30,,,,,,,,
2,PIT,SEA,401772836,,,17,31,,,,,,,,
2,BAL,CLE,401772726,,,41,17,,,,,,,,
2,HOU,TB,401772715,,,,,,,,,,,,
2,LV,LAC,401772811,,,,,,,,,,,,
3,BUF,MIA,401772937,,,,,,,,,,,,
3,CLE,GB,401772842,,,,,,,,,,,,
3,TEN,IND,401772733,,,,,,,,,,,,
3,MIN,CIN,401772731,,,,,,,,,,,,
3,NE,PIT,401772732,,,,,,,,,,,,
3,PHI,LAR,401772839,,,,,,,,,,,,
3,TB,NYJ,401772840,,,,,,,,,,,,
3,WSH,LV,401772841,,,,,,,,,,,,
3,CAR,ATL,401772838,,,,,,,,,,,,
3,JAX,HOU,401772734,,,,,,,,,,,,
3,LAC,DEN,401772735,,,,,,,,,,,,
3,SEA,NO,401772736,,,,,,,,,,,,
3,CHI,DAL,401772844,,,,,,,,,,,,
3,SF,ARI,401772843,,,,,,,,,,,,
3,NYG,KC,401772920,,,,,,,,,,,,
3,BAL,DET,401772812,,,,,,,,,,,,
4,ARI,SEA,401772938,,,,,,,,,,,,
4,PIT,MIN,401772632,,,,,,,,,,,,
4,ATL,WSH,401772739,,,,,,,,,,,,
4,BUF,NO,401772740,,,,,,,,,,,,
4,DET,CLE,401772846,,,,,,,,,,,,
4,NE,CAR,401772847,,,,,,,,,,,,
4,NYG,LAC,401772737,,,,,,,,,,,,
4,TB,PHI,401772845,,,,,,,,,,,,
4,HOU,TEN,401772738,,,,,,,,,,,,
4,LAR,IND,401772849,,,,,,,,,,,,
4,SF,JAX,401772848,,,,,,,,,,,,
