week,home_team,away_team,game_id,proposition_id,bet_win_key,home_score,away_score,home_line,prop_date,smb_pick,slb_pick,sue_pick,jean_pick,morgan_pick,adam_pick
1,PHI,DAL,401772510,24725480-31cb-11f0-ab53-41ce0449976f,not_decided,,,-6.5,1757031600000,PHI DEFAULT,PHI MANUAL,PHI DEFAULT,,,
1,LAC,KC,401772714,247317d0-31cb-11f0-ab53-41ce0449976f,not_decided,,,2.5,1757116800000,KC DEFAULT,KC MANUAL,LAC DEFAULT,,,
1,ATL,TB,401772830,247365f0-31cb-11f0-ab53-41ce0449976f,not_decided,,,1.5,1757264400000,TB DEFAULT,TB MANUAL,ATL DEFAULT,,,
1,IND,MIA,401772719,2473db20-31cb-11f0-ab53-41ce0449976f,not_decided,,,-0.5,1757264400000,IND DEFAULT,MIA MANUAL,IND DEFAULT,,,
1,NO,ARI,401772718,24747760-31cb-11f0-ab53-41ce0449976f,not_decided,,,3.5,1757264400000,ARI DEFAULT,ARI MANUAL,NO DEFAULT,,,
1,WSH,NYG,401772827,2474ec90-31cb-11f0-ab53-41ce0449976f,not_decided,,,-6.5,1757264400000,WSH DEFAULT,WSH DEFAULT,WSH DEFAULT,,,
1,DEN,TEN,401772832,247561c0-31cb-11f0-ab53-41ce0449976f,not_decided,,,-6.5,1757275500000,DEN DEFAULT,DEN MANUAL,DEN DEFAULT,,,
1,GB,DET,401772722,2475d6f0-31cb-11f0-ab53-41ce0449976f,not_decided,,,0.5,1757276700000,DET DEFAULT,DET MANUAL,GB DEFAULT,,,
1,BUF,BAL,401772918,24764c20-31cb-11f0-ab53-41ce0449976f,not_decided,,,-1.5,1757290800000,BUF DEFAULT,BUF MANUAL,BUF DEFAULT,,,
1,CHI,MIN,401772810,24769a40-31cb-11f0-ab53-41ce0449976f,not_decided,,,-0.5,1757376900000,CHI DEFAULT,CHI MANUAL,CHI DEFAULT,,,
2,GB,WSH,401772936,24bd4030-31cb-11f0-8209-f386d3264813,not_decided,,,,1757636100000,GB DEFAULT,GB DEFAULT,GB DEFAULT,,,
