week,away_team,home_team,game_id,proposition_id,bet_win_key,home_score,away_score,home_line,prop_date,smb_pick,constance_pick,max_pick,slb_pick,sue_pick,jean_pick,morgan_pick,adam_pick
1,LAR,CAR,LARCAR,,None,31,34,10.5,"Saturday, 4:30 p.m., FOX",LAR,LAR,CAR,CAR,CAR,CAR,LAR,LAR
1,GB,CHI,GBCHI,,None,31,27,1.5,"Saturday, 8 p.m., Prime Video",CHI,CHI,GB,GB,CHI,CHI,GB,GB
1,BUF,JAX,BUFJAX,,None,24,27,1.5,"Sunday, 1 p.m., CBS",JAX,BUF,BUF,JAX,BUF,BUF,BUF,BUF
1,SF,PHI,SFPHI,,None,19,23,-5.5,"Sunday, 4:30 p.m., FOX",SF,SF,PHI,PHI,PHI,SF,PHI,SF
1,LAC,NE,LACNE,,None,16,3,-3.5,"Sunday, 8 p.m., NBC Peacock",NE,NE,NE,NE,NE,NE,NE,NE
1,HOU,PIT,HOUPIT,,None,6,30,3,"Monday, 8:15 p.m., Espn",HOU,HOU,HOU,PIT,HOU,PIT,PIT,PIT
2,BUF,DEN,BUFDEN,,None,33,30,-1.5,"Saturday, 4:30 p.m., CBS",BUF,BUF,BUF,DEN,BUF,BUF,BUF,BUF
2,SF,SEA,SFSEA,,None,41,6,-7.5,"Saturday, 8:00 p.m., FOX",SEA,SF,SF,SF,SEA,SEA,SEA,SEA
2,HOU,NE,HOUNE,,None,28,16,-3,"Sunday, 3:00 p.m., ESPN ABC",NE,NE,NE,HOU,NE,NE,HOU,NE
2,LAR,CHI,LARCHI,,None,17,20,3.5,"Sunday, 6:30 p.m., NBC Peacock",CHI,LAR,CHI,LAR,CHI,LAR,CHI,LAR
3,NE,DEN,NEDEN,,None,7,10,5.5,"Sunday, 3:30 p.m., CBS",NE,DEN,NE,DEN,DEN,DEN,NE,
3,LAR,SEA,LARSEA,,None,31,27,-2.5,"Sunday, 6:30 p.m., FOX",SEA,SEA,SEA,SEA,SEA,SEA,SEA,
4,SEA,NE,SEANE,,None,,,4.5,"Sunday Feb 8, 3:30 p.m., NBC",SEA,,,,,,,
5,Over 45.5 points scored,,,,None,,,2,,x,,,,,,,
5,Under 45.5 points scored,,,,None,,,2,,YES,,,,,,,
5,Seattle scores first,,,,None,,,2,,x,,,,,,,
5,NE scores first,,,,None,,,2,,x,,,,,,,
5,1+ TDs to be Scored in Each Quarter,,,,None,,,3,,x,,,,,,,
5,Drake Maye 3+ TDs (Pass + Rush),,,,None,,,4,,x,,,,,,,
5,Sam Darnold 3+ TDs (Pass + Rush) ,,,,None,,,4,,YES,,,,,,,
5,Both teams score in Q1,,,,None,,,3,,YES,,,,,,,
5,Stefon Diggs scores a TD in Q3,,,,None,,,13,,x,,,,,,,
5,NE Winning at halftime,,,,None,,,3,,YES,,,,,,,
5,Any successful 2pt conversion,,,,None,,,4,,x,,,,,,,
5,Drake Maye 1+ Int,,,,None,,,2,,YES,,,,,,,
