proposition_id,home_line,correct_outcome_key,incorrect_outcome_key,prop_name,game_id
1ca93300-138a-11ef-9421-4b5b2bd2cbe8,,,DEN,CLE @ DEN,401671686
1dd90070-138a-11ef-9421-4b5b2bd2cbe8,,,TB,NO @ TB,401671828
1acd6e20-138a-11ef-99c0-11d412694269,3.5,GB,LAR,GB @ LAR,401671679
1b039950-138a-11ef-95b6-af3fb566f45b,-8.5,PHI,CLE,CLE @ PHI,401671714
1b3d46f0-138a-11ef-99c0-11d412694269,-1.5,KC,SF,KC @ SF,401671777
1bb53610-138a-11ef-9421-4b5b2bd2cbe8,,,MIN,IND @ MIN,401671647
19d55280-138a-11ef-95b6-af3fb566f45b,1.5,DAL,CLE,DAL @ CLE,401671761
1b75e320-138a-11ef-95b6-af3fb566f45b,7.5,,NE,NYJ @ NE,401671618
1a5705a0-138a-11ef-99c0-11d412694269,-2.5,PIT,LAC,LAC @ PIT,401671632
1d291160-138a-11ef-95b6-af3fb566f45b,,,DET,BUF @ DET,401671681
1beebca0-138a-11ef-95b6-af3fb566f45b,,,NO,ATL @ NO,401671733
1cf00000-138a-11ef-99c0-11d412694269,,,LAR,BUF @ LAR,401671773
1a1edea0-138a-11ef-9421-4b5b2bd2cbe8,3.5,GB,IND,IND @ GB,401671723
1a8e1b30-138a-11ef-9421-4b5b2bd2cbe8,2.5,TB,PHI,PHI @ TB,401671740
1a906520-138a-11ef-9421-4b5b2bd2cbe8,-2.5,BAL,BUF,BUF @ BAL,401671783
19d30890-138a-11ef-95b6-af3fb566f45b,-4.5,CHI,TEN,TEN @ CHI,401671719
1a212890-138a-11ef-9421-4b5b2bd2cbe8,-0.5,ARI,LAR,LAR @ ARI,401671754
1c6dd7b0-138a-11ef-99c0-11d412694269,,,NYG,TB @ NYG,401671638
1d9e4160-138a-11ef-99c0-11d412694269,,,CLE,MIA @ CLE,401671877
1b010140-138a-11ef-95b6-af3fb566f45b,3.5,SF,SEA,SF @ SEA,401671819
1b05e340-138a-11ef-95b6-af3fb566f45b,2.5,BUF,NYJ,BUF @ NYJ,401671684
1bb78000-138a-11ef-9421-4b5b2bd2cbe8,,,KC,TB @ KC,401671688
1c37ac80-138a-11ef-9421-4b5b2bd2cbe8,,,NE,LAR @ NE,401671701
1d5d67d0-138a-11ef-9421-4b5b2bd2cbe8,,,BUF,NE @ BUF,401671494
1b3c5c90-138a-11ef-99c0-11d412694269,-5.5,LAR,LV,LV @ LAR,401671663
1acd2000-138a-11ef-99c0-11d412694269,-7.5,ARI,SF,ARI @ SF,401671756
1dd3d050-138a-11ef-9421-4b5b2bd2cbe8,,,ATL,CAR @ ATL,401671827
1ca49f20-138a-11ef-9421-4b5b2bd2cbe8,,,DAL,NYG @ DAL,401671779
1a599db0-138a-11ef-99c0-11d412694269,-7.5,WSH,CIN,WSH @ CIN,401671490
1bb58430-138a-11ef-9421-4b5b2bd2cbe8,,,NYG,WSH @ NYG,401671711
19d5a0a0-138a-11ef-95b6-af3fb566f45b,-4.5,TB,WSH,WSH @ TB,401671770
1b759500-138a-11ef-95b6-af3fb566f45b,-3.5,,MIA,ARI @ MIA,401671850
1d9bf770-138a-11ef-99c0-11d412694269,,,WSH,ATL @ WSH,401671842
1b782d10-138a-11ef-95b6-af3fb566f45b,-7.5,,DEN,CAR @ DEN,401671600
1d28c340-138a-11ef-95b6-af3fb566f45b,,,DEN,IND @ DEN,401671669
1bee6e80-138a-11ef-95b6-af3fb566f45b,,,KC,DEN @ KC,401671637
1cf04e20-138a-11ef-99c0-11d412694269,,,SF,CHI @ SF,401671774
1a8dcd10-138a-11ef-9421-4b5b2bd2cbe8,-6.5,DEN,NYJ,DEN @ NYJ,401671622
1a1e9080-138a-11ef-9421-4b5b2bd2cbe8,-6.5,TB,DET,TB @ DET,401671721
1a901700-138a-11ef-9421-4b5b2bd2cbe8,7.5,KC,LAC,KC @ LAC,401671674
1a2176b0-138a-11ef-9421-4b5b2bd2cbe8,2.5,PIT,DEN,PIT @ DEN,401671668
